payroll_id,employee_id,pay_period_end,hours_worked,overtime_hours,gross_pay,overtime_pay,bonus,benefits_deduction,taxes,net_pay,anomaly_flag,anomaly_type,timesheet_status,approval_status,previous_net_pay,net_pay_change,risk_score,risk_level,issue_summary
P000001,E0001,2025-07-15,68.92,0.0,1817.34,0.0,0,150,490.68,1176.66,False,None,Submitted,Not Required,,,0,Low,Normal
P000002,E0001,2025-07-31,71.14,0.0,1876.0,0.0,0,150,506.52,1219.48,False,None,Submitted,Not Required,1176.66,42.819999999999936,0,Low,Normal
P000003,E0001,2025-08-15,87.35,7.35,2303.54,290.9,0,150,621.95,1822.49,False,None,Submitted,Rejected,1219.48,603.01,2,Medium,Large change in net pay
P000004,E0001,2025-08-31,84.42,4.42,2226.16,174.84,0,150,601.06,1649.94,False,None,Submitted,Not Required,1822.49,-172.54999999999995,0,Low,Normal
P000005,E0001,2025-09-15,80.81,0.81,2131.07,32.2,500,150,575.39,1937.88,False,None,Submitted,Not Required,1649.94,287.94000000000005,0,Low,Normal
P000006,E0001,2025-09-30,77.81,0.0,2051.79,0.0,0,150,553.98,1347.81,False,None,Submitted,Not Required,1937.88,-590.0700000000002,2,Medium,Large change in net pay
P000007,E0001,2025-10-15,81.68,1.68,2154.02,66.63,1000,150,581.59,2489.07,False,None,Submitted,Not Required,1347.81,1141.2600000000002,2,Medium,Large change in net pay
P000008,E0001,2025-10-31,87.04,7.04,2295.31,278.56,0,150,619.73,1804.14,False,None,Submitted,Approved,2489.07,-684.9300000000001,2,Medium,Large change in net pay
P000009,E0001,2025-11-15,91.81,11.81,2420.95,467.02,0,150,653.66,2084.31,False,None,Submitted,Pending,1804.14,280.16999999999985,2,Medium,Pending manager approval
P000010,E0001,2025-11-30,92.19,12.19,2431.04,482.15,1000,150,656.38,3106.81,False,None,Submitted,Rejected,2084.31,1022.5,2,Medium,Large change in net pay
P000011,E0001,2025-12-15,82.98,2.98,2188.07,117.7,0,150,590.78,1564.99,False,None,Submitted,Not Required,3106.81,-1541.82,2,Medium,Large change in net pay
P000012,E0001,2025-12-31,78.62,0.0,2073.33,0.0,0,-150,559.8,1363.53,True,Negative Deduction,Submitted,Not Required,1564.99,-201.46000000000004,3,Medium,Negative Deduction
P000013,E0002,2025-07-15,81.17,1.17,4258.99,92.08,0,0,766.62,3584.45,False,None,Submitted,Not Required,,,0,Low,Normal
P000014,E0002,2025-07-31,84.18,4.18,4416.77,328.75,0,0,795.02,3950.5,False,None,Submitted,Not Required,3584.45,366.0500000000002,0,Low,Normal
P000015,E0002,2025-08-15,84.14,4.14,4415.06,326.2,0,0,794.71,3946.55,False,None,Submitted,Not Required,3950.5,-3.949999999999818,0,Low,Normal
P000016,E0002,2025-08-31,90.46,10.46,4746.64,823.56,0,0,854.4,4715.81,False,None,Submitted,Pending,3946.55,769.2600000000002,4,High,"Pending manager approval, Large change in net pay"
P000017,E0002,2025-09-15,96.93,16.93,5085.71,1332.16,1000,0,915.43,6502.45,False,None,Late,Pending,4715.81,1786.6399999999994,4,High,"Pending manager approval, Large change in net pay"
P000018,E0002,2025-09-30,78.36,0.0,4111.44,0.0,0,0,740.06,3371.38,False,None,Submitted,Not Required,6502.45,-3131.0699999999997,2,Medium,Large change in net pay
P000019,E0002,2025-10-15,97.25,17.25,5102.55,1357.43,0,0,918.46,5541.53,False,None,Submitted,Pending,3371.38,2170.1499999999996,4,High,"Pending manager approval, Large change in net pay"
P000020,E0002,2025-10-31,89.38,9.38,4689.66,738.09,0,0,844.14,4583.61,False,None,Submitted,Approved,5541.53,-957.9200000000001,2,Medium,Large change in net pay
P000021,E0002,2025-11-15,79.19,0.0,4155.28,0.0,0,0,747.95,3407.33,False,None,Submitted,Not Required,4583.61,-1176.2799999999997,2,Medium,Large change in net pay
P000022,E0002,2025-11-30,91.99,11.99,4826.64,943.56,0,0,868.79,4901.4,False,None,Submitted,Approved,3407.33,1494.0699999999997,2,Medium,Large change in net pay
P000023,E0002,2025-12-15,93.49,13.49,4905.17,1061.35,0,0,882.93,5083.59,False,None,Submitted,Rejected,4901.4,182.1900000000005,0,Low,Normal
P000024,E0002,2025-12-31,76.32,0.0,4004.39,0.0,0,0,720.79,3283.6,False,None,Submitted,Not Required,5083.59,-1799.9900000000002,2,Medium,Large change in net pay
P000025,E0003,2025-07-15,93.86,13.86,2591.41,573.92,0,75,466.45,2623.88,False,None,Missing,Approved,,,2,Medium,Missing timesheet
P000026,E0003,2025-07-31,88.6,8.6,2446.26,356.2,0,75,440.33,2287.13,False,None,Submitted,Approved,2623.88,-336.75,0,Low,Normal
P000027,E0003,2025-08-15,98.95,18.95,2731.97,784.75,0,75,491.75,2949.96,False,None,Submitted,Rejected,2287.13,662.8299999999999,2,Medium,Large change in net pay
P000028,E0003,2025-08-31,76.61,0.0,2115.14,0.0,0,75,380.72,1659.41,False,None,Submitted,Not Required,2949.96,-1290.55,2,Medium,Large change in net pay
P000029,E0003,2025-09-15,77.17,0.0,2130.74,0.0,500,75,383.53,2172.2,False,None,Submitted,Not Required,1659.41,512.7899999999997,2,Medium,Large change in net pay
P000030,E0003,2025-09-30,63.79,0.0,1761.15,0.0,0,75,317.01,1369.14,False,None,Missing,Not Required,2172.2,-803.0599999999997,4,High,"Missing timesheet, Large change in net pay"
P000031,E0003,2025-10-15,84.57,4.57,2334.97,189.25,0,75,420.29,2028.92,False,None,Submitted,Not Required,1369.14,659.78,2,Medium,Large change in net pay
P000032,E0003,2025-10-31,83.0,3.0,2291.69,124.33,0,75,412.5,1928.51,False,None,Submitted,Not Required,2028.92,-100.41000000000008,0,Low,Normal
P000033,E0003,2025-11-15,75.5,0.0,2084.45,0.0,0,75,375.2,1634.25,False,None,Submitted,Not Required,1928.51,-294.26,0,Low,Normal
P000034,E0003,2025-11-30,79.35,0.0,2190.72,0.0,0,75,394.33,1721.39,False,None,Submitted,Not Required,1634.25,87.1400000000001,0,Low,Normal
P000035,E0003,2025-12-15,69.51,18.0,1919.18,745.47,0,75,345.45,1498.73,True,Unusual Overtime,Missing,Approved,1721.39,-222.66000000000008,5,High,"Unusual Overtime, Missing timesheet"
