payroll_id,employee_id,pay_period_end,hours_worked,overtime_hours,gross_pay,overtime_pay,bonus,benefits_deduction,taxes,net_pay,anomaly_flag,anomaly_type
P000001,E0001,2025-07-15,68.92,0.0,1817.34,0.0,0,150,490.68,1176.66,False,None
P000002,E0001,2025-07-31,71.14,0.0,1876.0,0.0,0,150,506.52,1219.48,False,None
P000003,E0001,2025-08-15,87.35,7.35,2303.54,290.9,0,150,621.95,1822.49,False,None
P000004,E0001,2025-08-31,84.42,4.42,2226.16,174.84,0,150,601.06,1649.94,False,None
P000005,E0001,2025-09-15,80.81,0.81,2131.07,32.2,500,150,575.39,1937.88,False,None
P000006,E0001,2025-09-30,77.81,0.0,2051.79,0.0,0,150,553.98,1347.81,False,None
P000007,E0001,2025-10-15,81.68,1.68,2154.02,66.63,1000,150,581.59,2489.07,False,None
P000008,E0001,2025-10-31,87.04,7.04,2295.31,278.56,0,150,619.73,1804.14,False,None
P000009,E0001,2025-11-15,91.81,11.81,2420.95,467.02,0,150,653.66,2084.31,False,None
P000010,E0001,2025-11-30,92.19,12.19,2431.04,482.15,1000,150,656.38,3106.81,False,None
P000011,E0001,2025-12-15,82.98,2.98,2188.07,117.7,0,150,590.78,1564.99,False,None
P000012,E0001,2025-12-31,78.62,0.0,2073.33,0.0,0,-150,559.8,1363.53,True,Negative Deduction
P000013,E0002,2025-07-15,81.17,1.17,4258.99,92.08,0,0,766.62,3584.45,False,None
P000014,E0002,2025-07-31,84.18,4.18,4416.77,328.75,0,0,795.02,3950.5,False,None
P000015,E0002,2025-08-15,84.14,4.14,4415.06,326.2,0,0,794.71,3946.55,False,None
P000016,E0002,2025-08-31,90.46,10.46,4746.64,823.56,0,0,854.4,4715.81,False,None
P000017,E0002,2025-09-15,96.93,16.93,5085.71,1332.16,1000,0,915.43,6502.45,False,None
P000018,E0002,2025-09-30,78.36,0.0,4111.44,0.0,0,0,740.06,3371.38,False,None
P000019,E0002,2025-10-15,97.25,17.25,5102.55,1357.43,0,0,918.46,5541.53,False,None
P000020,E0002,2025-10-31,89.38,9.38,4689.66,738.09,0,0,844.14,4583.61,False,None
P000021,E0002,2025-11-15,79.19,0.0,4155.28,0.0,0,0,747.95,3407.33,False,None
P000022,E0002,2025-11-30,91.99,11.99,4826.64,943.56,0,0,868.79,4901.4,False,None
P000023,E0002,2025-12-15,93.49,13.49,4905.17,1061.35,0,0,882.93,5083.59,False,None
P000024,E0002,2025-12-31,76.32,0.0,4004.39,0.0,0,0,720.79,3283.6,False,None
P000025,E0003,2025-07-15,93.86,13.86,2591.41,573.92,0,75,466.45,2623.88,False,None
P000026,E0003,2025-07-31,88.6,8.6,2446.26,356.2,0,75,440.33,2287.13,False,None
P000027,E0003,2025-08-15,98.95,18.95,2731.97,784.75,0,75,491.75,2949.96,False,None
P000028,E0003,2025-08-31,76.61,0.0,2115.14,0.0,0,75,380.72,1659.41,False,None
P000029,E0003,2025-09-15,77.17,0.0,2130.74,0.0,500,75,383.53,2172.2,False,None
P000030,E0003,2025-09-30,63.79,0.0,1761.15,0.0,0,75,317.01,1369.14,False,None
P000031,E0003,2025-10-15,84.57,4.57,2334.97,189.25,0,75,420.29,2028.92,False,None
P000032,E0003,2025-10-31,83.0,3.0,2291.69,124.33,0,75,412.5,1928.51,False,None
P000033,E0003,2025-11-15,75.5,0.0,2084.45,0.0,0,75,375.2,1634.25,False,None
P000034,E0003,2025-11-30,79.35,0.0,2190.72,0.0,0,75,394.33,1721.39,False,None
P000035,E0003,2025-12-15,69.51,18.0,1919.18,745.47,0,75,345.45,1498.73,True,Unusual Overtime
P000036,E0003,2025-12-31,89.59,23.59,2473.51,976.88,0,75,445.23,2350.35,True,Unusual Overtime
P000037,E0004,2025-07-15,76.08,0.0,5120.35,0.0,0,150,921.66,4048.68,False,None
P000038,E0004,2025-07-31,104.75,24.75,7049.84,2498.75,0,150,1268.97,8129.62,False,None
P000039,E0004,2025-08-15,78.6,0.0,5289.46,0.0,0,150,952.1,4187.35,False,None
P000040,E0004,2025-08-31,73.92,0.0,4975.02,0.0,0,150,895.5,3929.52,False,None
P000041,E0004,2025-09-15,76.7,0.0,5162.01,0.0,0,150,929.16,4082.85,False,None
P000042,E0004,2025-09-30,68.7,0.0,4623.8,0.0,0,150,832.28,3641.52,False,None
P000043,E0004,2025-10-15,83.86,3.86,5643.66,389.48,0,150,1015.86,4867.28,False,None
P000044,E0004,2025-10-31,76.64,0.0,5157.93,0.0,0,150,928.43,4079.5,True,Duplicate Bonus
P000045,E0004,2025-11-15,89.05,9.05,5993.07,913.6,0,150,1078.75,5677.91,False,None
P000046,E0004,2025-11-30,77.8,23.0,5236.08,2321.85,0,150,942.49,4143.58,True,Unusual Overtime
P000047,E0004,2025-12-15,91.08,11.08,6129.38,1118.08,0,150,1103.29,5994.17,False,None
P000048,E0004,2025-12-31,86.06,6.06,5791.81,611.72,0,150,1042.53,5211.01,True,Duplicate Bonus
P000049,E0005,2025-07-15,80.23,0.23,4529.72,19.37,250,150,996.54,3652.55,False,None
P000050,E0005,2025-07-31,92.64,12.64,5230.56,1070.64,0,150,1150.72,5000.48,True,Duplicate Bonus
P000051,E0005,2025-08-15,87.62,7.62,4946.93,645.2,0,150,1088.33,4353.8,False,None
P000052,E0005,2025-08-31,103.57,23.57,5847.55,1996.12,250,150,1286.46,6657.2,False,None
P000053,E0005,2025-09-15,76.72,0.0,4331.86,0.0,0,150,953.01,3228.85,False,None
P000054,E0005,2025-09-30,80.61,0.61,4551.41,51.91,0,150,1001.31,3452.01,False,None
P000055,E0005,2025-10-15,92.55,12.55,5225.35,1062.83,0,150,1149.58,4988.61,False,None
P000056,E0005,2025-10-31,67.65,0.0,3819.61,0.0,0,150,840.32,2829.3,False,None
P000057,E0005,2025-11-15,90.54,10.54,5111.64,892.26,0,150,1124.56,4729.33,False,None
P000058,E0005,2025-11-30,83.51,3.51,4715.22,297.64,0,150,1037.35,3825.51,False,None
P000059,E0005,2025-12-15,72.89,0.0,4115.61,0.0,0,150,905.43,3060.18,False,None
P000060,E0005,2025-12-31,69.1,0.0,3901.14,0.0,0,150,858.25,2892.89,False,None
P000061,E0006,2025-07-15,74.62,0.0,1883.41,0.0,0,150,508.52,1224.89,False,None
P000062,E0006,2025-07-31,61.72,0.0,1557.85,0.0,0,150,420.62,987.23,False,None
P000063,E0006,2025-08-15,76.08,0.0,1920.35,0.0,0,150,518.5,1251.86,False,None
P000064,E0006,2025-08-31,84.98,4.98,2144.91,188.56,0,150,579.12,1604.34,False,None
P000065,E0006,2025-09-15,76.19,0.0,1923.03,0.0,0,150,519.22,1253.81,False,None
P000066,E0006,2025-09-30,91.11,11.11,2299.53,420.49,250,150,620.87,2199.15,False,None
P000067,E0006,2025-10-15,93.28,13.28,2354.38,502.76,0,150,635.68,2071.46,False,None
P000068,E0006,2025-10-31,90.21,10.21,2276.78,386.37,0,150,614.73,1898.42,False,None
P000069,E0006,2025-11-15,81.85,1.85,2065.77,69.86,0,150,557.76,1427.87,False,None
P000070,E0006,2025-11-30,61.4,0.0,1549.8,0.0,0,150,418.45,981.35,False,None
P000071,E0006,2025-12-15,74.37,0.0,1877.11,0.0,0,150,506.82,1220.29,False,None
P000072,E0006,2025-12-31,78.86,0.0,1990.52,0.0,0,150,537.44,1303.08,False,None
P000073,E0007,2025-07-15,72.85,0.0,1492.68,0.0,0,75,328.39,1089.29,False,None
P000074,E0007,2025-07-31,78.88,0.0,1616.33,0.0,250,75,355.59,1435.74,False,None
P000075,E0007,2025-08-15,92.88,12.88,1903.12,395.88,0,75,418.69,1805.32,False,None
P000076,E0007,2025-08-31,66.83,0.0,1369.42,0.0,0,75,301.27,993.15,False,None
P000077,E0007,2025-09-15,94.49,14.49,1936.17,445.46,0,75,425.96,1880.67,False,None
P000078,E0007,2025-09-30,87.08,7.08,1784.22,217.54,0,75,392.53,1534.23,False,None
P000079,E0007,2025-10-15,82.15,2.15,1683.17,65.95,0,75,370.3,1303.82,False,None
P000080,E0007,2025-10-31,74.29,0.0,1522.22,0.0,0,75,334.89,1112.33,False,None
P000081,E0007,2025-11-15,73.01,0.0,1495.94,0.0,0,75,329.11,1091.83,False,None
P000082,E0007,2025-11-30,66.99,0.0,1372.63,0.0,0,75,301.98,995.65,False,None
P000083,E0007,2025-12-15,93.73,13.73,1920.61,422.12,0,75,422.53,1845.2,False,None
P000084,E0007,2025-12-31,92.3,12.3,1891.25,378.07,0,75,416.07,1778.24,False,None
P000085,E0008,2025-07-15,38.75,0.0,1295.4,0.0,0,75,233.17,987.23,False,None
P000086,E0008,2025-07-31,45.58,0.0,1523.71,0.0,0,75,274.27,1174.44,False,None
P000087,E0008,2025-08-15,53.47,0.0,1787.34,0.0,0,75,321.72,1390.62,False,None
P000088,E0008,2025-08-31,47.6,0.0,1591.4,0.0,0,75,286.45,1229.95,False,None
P000089,E0008,2025-09-15,34.65,0.0,1158.37,0.0,500,75,208.51,1374.86,False,None
P000090,E0008,2025-09-30,44.74,0.0,1495.59,0.0,0,75,269.21,1151.38,False,None
P000091,E0008,2025-10-15,65.61,0.0,2193.28,0.0,0,75,394.79,1723.49,False,None
P000092,E0008,2025-10-31,45.28,0.0,1513.72,0.0,250,75,272.47,1416.25,False,None
P000093,E0008,2025-11-15,48.69,0.0,1627.78,0.0,250,75,293.0,1509.78,False,None
P000094,E0008,2025-11-30,40.84,0.0,1365.23,0.0,250,75,245.74,1294.49,False,None
